TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SMLS3;22,40;17,98;10,78;4,09;1,02;85,18;41,42;39,07;10,17;9,93;-0,24;-0,10;4,21;18,78;-2,54;1,10;37,96;9,43;24,47;0,25;0,75;0,24;;;25.865.505,33;5,47;2,08;-0,33;2.781.160.547,20
SMTO3;36,86;6,33;12,57;3,27;1,05;39,91;32,00;20,47;8,04;10,89;2,84;1,16;2,57;9,57;-1,42;1,74;26,04;8,36;13,42;0,32;0,68;0,41;12,98;38,06;44.606.965,13;11,26;2,93;1,12;13.048.857.586,94
SNSY3;8,70;;-0,64;-0,05;0,15;19,11;-1,10;-14,71;-8,53;-27,75;-16,25;;0,09;-1,10;-0,36;0,82;-7,35;-22,97;0,63;-3,12;4,16;1,56;4,14;;4.347,73;-186,23;-13,70;0,02;90.553.442,40
SNSY5;4,76;;-0,35;-0,03;0,08;19,11;-1,10;-14,71;-4,67;-27,75;-16,25;;0,05;-0,60;-0,20;0,82;-7,35;-22,97;0,63;-3,12;4,16;1,56;4,14;;19.396,20;-186,23;-13,70;0,01;90.553.442,40
SNSY6;13,33;;-0,97;-0,07;0,22;19,11;-1,10;-14,71;-13,06;-27,75;-16,25;;0,14;-1,68;-0,55;0,82;-7,35;-22,97;0,63;-3,12;4,16;1,56;4,14;;;-186,23;-13,70;0,04;90.553.442,40
SOJA3;13,93;;12,03;2,60;1,64;20,24;17,16;15,53;10,89;10,08;-0,81;-0,19;1,87;3,33;-8,59;2,57;21,64;13,67;19,47;0,63;0,37;0,88;;;5.194.369,48;5,35;1,16;0,11;1.631.764.741,18
SOMA3;14,26;;37,97;1,56;1,18;63,92;9,35;14,38;58,43;62,19;3,76;0,10;5,46;7,07;-1,64;2,40;4,11;3,09;0,93;0,75;0,25;0,22;;;63.352.096,68;9,14;0,38;-0,07;11.190.497.538,98
SOND3;40,20;19,26;14,33;1,63;1,14;31,30;8,11;9,61;16,96;12,57;-4,51;-0,43;1,38;3,47;-2,40;2,68;11,40;7,95;7,70;0,70;0,30;0,83;-10,40;;4.020,00;24,62;2,81;-0,21;99.496.397,00
SOND5;40,63;20,96;14,48;1,65;1,15;31,30;8,11;9,61;17,14;12,57;-4,51;-0,43;1,39;3,50;-2,42;2,68;11,40;7,95;7,70;0,70;0,30;0,83;-10,40;;6.632,25;24,62;2,81;-0,21;99.496.397,00
SOND6;35,52;23,98;12,66;1,44;1,01;31,30;8,11;9,61;14,99;12,57;-4,51;-0,43;1,22;3,06;-2,12;2,68;11,40;7,95;7,70;0,70;0,30;0,83;-10,40;;3.552,00;24,62;2,81;-0,19;99.496.397,00
SPRT3B;76,40;;-477,85;-139,83;33.267,35;;;;-575,99;-575,99;0,00;;;-139,24;-33.267,35;0,00;-29,26;-6.961,86;24,28;-237,92;238,92;0,00;;;;-0,55;-0,16;16,96;370.531.748,80
SQIA3;17,51;0,11;132,15;1,93;1,24;38,92;6,63;3,79;75,67;57,10;-18,56;-0,47;5,01;2,71;-2,68;6,56;1,46;0,93;1,82;0,64;0,36;0,25;22,77;3,53;16.646.044,53;9,08;0,13;0,28;1.539.863.929,72
STBP3;6,67;3,90;33,41;2,54;1,21;37,70;22,83;12,75;18,65;16,33;-2,33;-0,32;4,26;6,22;-1,69;3,17;7,61;3,63;8,06;0,48;0,52;0,28;-0,73;;32.024.880,40;2,62;0,20;-0,03;5.755.079.781,84
STKF3;0,00;;0,00;0,00;0,00;61,06;41,18;28,16;0,00;1,33;1,33;0,14;0,00;0,00;0,00;1,94;7,40;4,52;6,63;0,61;0,39;0,16;14,50;;;5,91;0,44;0,00;0,00
STTR3;0,00;;0,00;0,00;0,00;31,37;17,25;14,11;0,00;-0,22;-0,22;-0,09;0,00;0,00;0,00;2,46;32,10;17,86;25,38;0,56;0,44;1,27;22,02;;;2,91;0,94;0,00;0,00
SULA11;25,69;0,87;26,93;1,32;0,39;7,96;0,19;2,11;296,36;-92,82;-389,18;-1,74;0,57;1,08;-1,20;2,19;4,92;1,47;-1,56;0,30;0,70;0,70;4,99;-11,17;84.240.351,38;19,39;0,95;-0,32;10.939.947.859,63
SULA3;8,64;0,87;27,17;1,34;0,40;7,96;0,19;2,11;299,01;-92,82;-389,18;-1,74;0,57;1,09;-1,21;2,19;4,92;1,47;-1,56;0,30;0,70;0,70;4,99;-11,17;126.173,23;6,46;0,32;-0,32;10.939.947.859,63
SULA4;8,38;0,89;26,35;1,30;0,39;7,96;0,19;2,11;290,01;-92,82;-389,18;-1,74;0,55;1,06;-1,17;2,19;4,92;1,47;-1,56;0,30;0,70;0,70;4,99;-11,17;181.221,90;6,46;0,32;-0,31;10.939.947.859,63
SUZB3;59,30;1,25;6,60;5,97;0,71;47,20;42,22;32,61;5,10;8,79;3,69;4,32;2,15;3,89;-0,96;3,32;90,48;10,79;13,98;0,12;0,88;0,33;24,40;;356.654.783,05;9,93;8,99;-0,04;80.722.930.531,20
SYNE3;7,17;115,31;36,57;0,66;0,21;60,53;53,95;6,25;4,24;8,29;4,05;0,63;2,29;1,13;-0,28;4,35;1,81;0,58;4,84;0,32;0,42;0,09;4,82;5,13;24.566.011,75;10,82;0,20;-0,58;1.094.460.670,65
TAEE11;37,70;11,95;4,96;1,88;0,81;79,23;100,22;66,67;3,30;4,83;1,53;0,87;3,31;10,13;-0,96;2,04;37,82;16,27;24,41;0,43;0,57;0,24;18,22;23,56;83.873.524,10;20,10;7,60;0,08;12.987.608.793,90
TAEE3;12,64;11,88;4,99;1,89;0,81;79,23;100,22;66,67;3,32;4,83;1,53;0,87;3,32;10,19;-0,96;2,04;37,82;16,27;24,41;0,43;0,57;0,24;18,22;23,56;1.114.419,40;6,70;2,53;0,08;12.987.608.793,90
TAEE4;12,58;11,93;4,96;1,88;0,81;79,23;100,22;66,67;3,30;4,83;1,53;0,87;3,31;10,14;-0,96;2,04;37,82;16,27;24,41;0,43;0,57;0,24;18,22;23,56;2.322.091,93;6,70;2,53;0,08;12.987.608.793,90
TASA3;21,95;;3,63;4,27;1,38;47,00;33,09;28,53;3,13;3,53;0,42;0,57;1,04;3,99;-4,32;2,03;117,57;37,98;65,85;0,32;0,68;1,33;16,57;;888.661,80;5,14;6,04;0,00;2.555.035.566,16
TASA4;21,73;;3,60;4,23;1,37;47,00;33,09;28,53;3,10;3,53;0,42;0,57;1,03;3,95;-4,28;2,03;117,57;37,98;65,85;0,32;0,68;1,33;16,57;;21.000.336,75;5,14;6,04;0,00;2.555.035.566,16
TCNO3;1,72;;-17,96;-19,70;0,05;;;;-17,96;-68,68;-53,35;;;-0,11;-0,06;0,29;-109,69;-0,27;-1,91;0,00;1,00;0,00;;;140.989,70;-0,09;-0,10;1,76;9.722.981,62
TCNO4;1,33;;-13,89;-15,23;0,04;;;;-13,89;-68,68;-53,35;;;-0,09;-0,04;0,29;-109,69;-0,27;-1,91;0,00;1,00;0,00;;;219.078,95;-0,09;-0,10;1,36;9.722.981,62
TCSA3;3,55;;-1,67;0,40;0,17;5,31;-61,78;-93,53;-2,53;-6,13;-3,61;0,57;1,56;0,57;-0,30;2,81;-24,10;-10,00;-8,83;0,41;0,57;0,11;-32,32;;2.674.865,18;8,82;-2,13;0,09;261.348.266,50
TECN3;2,31;3,51;14,12;0,56;0,28;51,73;12,68;4,03;4,49;5,04;0,55;0,07;0,57;0,65;-0,73;3,41;3,97;1,99;5,26;0,50;0,50;0,49;-9,24;-10,21;3.075.901,23;4,12;0,16;-0,13;181.349.356,65
TEKA3;26,10;;-0,11;-0,01;0,01;16,88;3,22;-56,45;1,91;84,00;82,93;;0,06;-0,01;-0,01;0,04;-6,79;-11,65;-0,28;-1,72;2,72;0,21;-1,38;;5.220,00;-3.533,44;-239,81;-0,02;7.352.807,90
TEKA4;8,86;;-0,04;0,00;0,00;16,88;3,22;-56,45;0,65;84,00;82,93;;0,02;0,00;0,00;0,04;-6,79;-11,65;-0,28;-1,72;2,72;0,21;-1,38;;23.807,11;-3.533,44;-239,81;-0,01;7.352.807,90
TELB3;40,00;;-18,89;1,88;0,68;-91,86;-37,86;-53,64;-26,77;-15,34;7,06;-0,50;10,13;2,48;-1,00;5,93;-9,94;-3,57;-6,06;0,36;0,64;0,07;42,70;;27.658,31;21,30;-2,12;0,03;2.271.890.321,45
TELB4;15,95;;-7,53;0,75;0,27;-91,86;-37,86;-53,64;-10,67;-15,34;7,06;-0,50;4,04;0,99;-0,40;5,93;-9,94;-3,57;-6,06;0,36;0,64;0,07;42,70;;78.668,30;21,30;-2,12;0,01;2.271.890.321,45
TEND3;15,50;1,15;10,85;1,09;0,35;26,77;8,64;5,50;6,91;8,19;1,27;0,20;0,60;0,95;-0,90;2,56;10,06;3,25;6,69;0,32;0,68;0,59;21,81;37,50;16.772.132,78;14,19;1,43;-0,40;1.617.335.813,00
TESA3;48,00;;-13,30;1,62;0,52;15,86;9,39;-7,58;10,73;17,39;6,66;1,01;1,01;-11,10;-0,74;0,86;-12,18;-3,94;3,93;0,32;0,68;0,52;7,32;;1.340.759,40;29,64;-3,61;0,83;1.389.696.672,00
TFCO4;11,57;0,86;174,36;44,72;26,11;59,60;19,96;15,57;136,07;23,07;0,18;0,06;27,15;48,06;-115,97;3,35;25,65;14,98;20,82;0,58;0,42;0,96;;;2.133.202,03;0,26;0,07;1,27;1.847.937.277,36
TGMA3;13,85;5,67;8,51;1,37;0,90;19,10;12,54;10,58;7,18;7,04;-0,14;-0,03;0,90;3,31;-1,69;2,39;16,07;10,59;12,76;0,66;0,34;1,00;-2,05;61,00;5.212.707,78;10,13;1,63;0,39;914.140.372,75
TIET11;12,54;0,16;4,38;2,25;0,46;74,66;61,76;49,46;3,51;7,15;3,64;2,34;2,16;1.031,49;-0,52;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;31.123.800,68;5,57;2,87;0,02;5.004.795.800,93
TIET3;3,49;0,11;6,09;3,13;0,64;74,66;61,76;49,46;4,88;7,15;3,64;2,34;3,01;1.435,37;-0,72;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;558.793,42;1,11;0,57;0,03;5.004.795.800,93
TIET4;3,51;0,11;6,13;3,15;0,64;74,66;61,76;49,46;4,91;7,15;3,64;2,34;3,03;1.443,59;-0,72;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;1.764.454,32;1,11;0,57;0,03;5.004.795.800,93
TIMS3;12,99;3,33;10,58;1,28;0,72;53,18;16,72;16,58;10,49;11,80;1,31;0,16;1,75;5,44;-1,00;1,85;12,07;6,76;6,99;0,56;0,44;0,41;0,15;7,35;74.358.908,80;10,18;1,23;0,15;31.446.249.130,02
TKNO3;69,63;7,04;3,49;0,85;0,60;27,33;23,26;20,22;3,04;2,80;0,14;0,04;0,71;1,63;-1,61;2,37;24,46;17,05;19,62;0,70;0,30;0,84;8,49;;;81,48;19,93;0,01;179.906.001,63
TKNO4;51,00;7,02;2,56;0,63;0,44;27,33;23,26;20,22;2,22;2,80;0,14;0,04;0,52;1,20;-1,18;2,37;24,46;17,05;19,62;0,70;0,30;0,84;8,49;;24.250,67;81,48;19,93;0,00;179.906.001,63
TOTS3;27,78;1,12;49,79;4,09;1,82;70,59;16,37;11,37;34,59;32,79;-1,79;-0,21;5,66;9,17;-3,83;1,61;8,22;3,65;6,69;0,44;0,56;0,32;6,34;11,98;132.252.068,63;6,79;0,56;1,36;17.145.348.768,18
TOYB3;2,29;;-43,94;-4,97;4,03;24,06;-10,70;-10,96;-45,00;-47,62;-0,63;;4,81;-5,93;-11,89;0,49;-11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;;-0,46;-0,05;0,47;71.890.222,22
TOYB4;2,50;;-47,96;-5,43;4,40;24,06;-10,70;-10,96;-49,12;-47,62;-0,63;;5,26;-6,47;-12,98;0,49;-11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;;-0,46;-0,05;0,52;71.890.222,22
TPIS3;2,06;2,00;1,25;0,39;0,11;11,58;28,48;27,67;1,21;6,59;5,38;1,73;0,34;-1,04;-0,12;0,38;31,19;8,98;9,67;0,29;0,71;0,32;-16,95;33,86;2.384.223,83;5,30;1,65;0,00;362.560.000,00
TRAD3;4,26;;68,82;1,89;1,78;66,92;-0,23;22,42;-6.592,40;-3.749,61;2.842,79;-0,81;15,43;2,35;-9,25;15,74;2,74;2,58;-2,26;0,94;0,06;0,12;;;11.936.461,95;2,26;0,06;;1.199.816.807,88
TRIS3;6,15;3,93;7,21;0,92;0,49;37,57;23,16;18,58;5,79;6,82;1,03;0,16;1,34;0,92;-2,03;3,50;12,82;6,85;9,46;0,53;0,44;0,37;18,29;52,78;8.628.554,43;6,65;0,85;16,71;1.147.697.858,70
TRPL3;30,76;11,67;5,40;1,39;0,72;69,83;117,80;85,32;3,91;4,40;1,00;0,36;4,61;9,35;-0,83;2,38;25,80;13,31;19,95;0,52;0,47;0,16;23,49;49,38;85.400,90;22,07;5,69;0,08;17.608.981.288,68
TRPL4;24,13;14,87;4,24;1,09;0,56;69,83;117,80;85,32;3,07;4,40;1,00;0,36;3,61;7,33;-0,65;2,38;25,80;13,31;19,95;0,52;0,47;0,16;23,49;49,38;24.416.545,03;22,07;5,69;0,07;17.608.981.288,68
TTEN3;9,50;;12,53;2,27;1,08;14,53;9,04;7,96;11,03;10,03;-1,01;-0,21;1,00;3,11;-5,89;1,74;18,14;8,61;13,40;0,47;0,53;1,08;;;6.305.283,28;4,18;0,76;;4.694.117.646,50
TUPY3;20,40;2,12;12,91;1,09;0,45;16,46;7,34;3,62;6,37;8,50;2,13;0,37;0,47;1,28;-1,10;2,54;8,47;3,52;9,19;0,42;0,58;0,97;4,44;0,69;11.685.677,15;18,66;1,58;-0,04;2.941.221.000,00
TXRX3;34,00;;-24,41;-0,47;0,68;36,25;20,80;-3,99;4,68;10,39;8,18;;0,97;-0,54;-1,23;0,26;-1,91;-2,78;-53,19;-1,46;2,46;0,70;1,83;;6.800,00;-73,04;-1,39;0,07;68.358.498,16
TXRX4;6,72;;-4,82;-0,09;0,13;36,25;20,80;-3,99;0,93;10,39;8,18;;0,19;-0,11;-0,24;0,26;-1,91;-2,78;-53,19;-1,46;2,46;0,70;1,83;;8.090,86;-73,04;-1,39;0,01;68.358.498,16
UCAS3;3,72;5,75;9,52;1,49;0,91;38,05;16,01;12,65;7,53;5,78;-1,75;-0,35;1,20;4,56;-1,87;1,63;15,62;9,52;11,91;0,61;0,39;0,75;-7,54;14,52;178.391,85;2,50;0,39;0,08;245.841.274,08
UGPA3;15,16;4,22;18,86;1,73;0,45;6,06;1,56;0,83;10,04;17,46;7,42;1,27;0,16;2,11;-0,89;1,77;9,15;2,40;5,00;0,26;0,73;2,88;1,43;-9,83;104.331.047,43;8,78;0,80;0,05;16.905.032.474,28
UNIP3;91,00;15,43;5,42;3,39;1,41;43,67;40,80;29,24;3,88;3,72;-0,21;-0,18;1,58;5,66;-2,62;2,19;62,57;26,11;40,45;0,42;0,58;0,89;35,12;78,37;3.934.001,53;26,84;16,79;0,01;8.703.341.926,58
UNIP5;95,20;16,22;5,67;3,55;1,48;43,67;40,80;29,24;4,06;3,72;-0,21;-0,18;1,66;5,92;-2,74;2,19;62,57;26,11;40,45;0,42;0,58;0,89;35,12;78,37;158.251,14;26,84;16,79;0,01;8.703.341.926,58
UNIP6;92,79;16,64;5,53;3,46;1,44;43,67;40,80;29,24;3,96;3,72;-0,21;-0,18;1,62;5,77;-2,67;2,19;62,57;26,11;40,45;0,42;0,58;0,89;35,12;78,37;33.998.532,05;26,84;16,79;0,01;8.703.341.926,58
USIM3;14,62;8,87;2,23;0,91;0,47;34,70;36,48;26,38;1,61;1,57;-0,11;-0,06;0,59;1,30;-1,02;3,08;40,77;21,12;30,05;0,52;0,41;0,80;9,57;;9.826.380,00;16,09;6,56;0,00;19.081.484.168,32
USIM5;16,01;8,91;2,44;0,99;0,52;34,70;36,48;26,38;1,76;1,57;-0,11;-0,06;0,64;1,42;-1,12;3,08;40,77;21,12;30,05;0,52;0,41;0,80;9,57;;298.910.979,03;16,09;6,56;0,00;19.081.484.168,32
